episode,steps,avg_reward,avg_length,win_rate_a,wins_a,wins_b,draws,fps,avg_tank_dist,tank_policy_type
1610,1277684,-280.0983,197.34,22.11,356,1252,2,531.86,7.09,G810_M235_C565
1620,1285648,-346.7719,197.54,22.10,358,1260,2,531.57,7.30,G813_M238_C569
1630,1293648,-255.2752,197.54,22.21,362,1266,2,531.55,7.10,G818_M238_C574
1640,1301504,-323.4712,197.18,22.20,364,1274,2,531.64,7.31,G819_M240_C581
1650,1309504,-398.7822,197.56,22.18,366,1282,2,531.68,7.55,G823_M243_C584
1660,1317396,-418.0960,197.29,22.17,368,1290,2,531.84,7.69,G828_M244_C588
1670,1325396,-411.5712,197.94,22.10,369,1299,2,531.93,7.77,G833_M246_C591
1680,1333288,-411.4187,198.25,22.38,376,1302,2,532.16,7.82,G838_M246_C596
1690,1341152,-416.7697,197.91,22.54,381,1307,2,532.34,7.65,G842_M248_C600
1700,1348988,-383.3787,197.50,22.76,387,1311,2,532.01,7.59,G848_M250_C602
1710,1356988,-414.7322,198.26,22.75,389,1319,2,531.75,7.84,G853_M250_C607
1720,1364988,-370.2964,198.35,22.67,390,1328,2,531.63,7.77,G859_M253_C608
1730,1372988,-405.0007,198.35,22.95,397,1331,2,531.46,7.94,G865_M255_C610
1740,1380988,-366.9738,198.71,22.93,399,1339,2,531.05,7.83,G870_M255_C615
1750,1388988,-350.6731,198.71,22.91,401,1347,2,530.76,7.68,G876_M257_C617
1760,1396988,-258.1565,198.98,23.01,405,1353,2,530.90,7.28,G882_M258_C620
1770,1404988,-250.6419,198.98,23.22,411,1357,2,530.70,7.29,G885_M263_C622
1780,1412480,-276.7510,197.98,23.37,416,1361,3,530.52,7.36,G888_M264_C628
1790,1420480,-231.5806,198.32,23.58,422,1365,3,530.56,7.29,G892_M264_C634
1800,1428168,-191.0765,197.95,23.72,427,1370,3,530.65,7.19,G896_M265_C639
1810,1436088,-31.7565,197.75,23.70,429,1377,4,530.67,6.53,G902_M267_C641
1820,1444088,69.3834,197.75,23.79,433,1383,4,530.79,6.05,G907_M268_C645
1830,1452052,66.1774,197.66,23.99,439,1387,4,530.87,6.01,G910_M270_C650
1840,1460052,98.8747,197.66,24.08,443,1393,4,531.04,5.94,G917_M272_C651
1850,1468052,105.1199,197.66,24.22,448,1398,4,531.19,5.94,G921_M273_C656
1860,1475868,61.9041,197.20,24.14,449,1407,4,531.18,6.08,G928_M273_C659
1870,1483868,-32.5850,197.20,24.06,450,1416,4,531.15,6.47,G936_M274_C660
1880,1491868,-7.1414,198.47,23.99,451,1425,4,531.24,6.39,G940_M276_C664
1890,1499868,2.0499,198.47,24.02,454,1432,4,531.39,6.41,G943_M277_C670
1900,1507868,6.0271,199.25,24.05,457,1439,4,531.52,6.35,G948_M278_C674
1910,1515732,-59.7525,199.11,24.03,459,1447,4,531.69,6.77,G956_M278_C676
1920,1523732,-71.1237,199.11,24.06,462,1454,4,531.84,6.81,G961_M280_C679
1930,1531732,-108.0888,199.20,24.20,467,1459,4,532.00,6.90,G966_M282_C682
1940,1539732,-75.8913,199.20,24.28,471,1465,4,531.78,6.80,G972_M282_C686
1950,1547708,-49.6259,199.14,24.36,475,1471,4,531.38,6.68,G975_M285_C690
1960,1555640,-17.4762,199.43,24.44,479,1477,4,531.24,6.54,G977_M289_C694
1970,1563640,103.0911,199.43,24.57,484,1482,4,531.25,6.05,G984_M289_C697
1980,1571640,175.1326,199.43,24.55,486,1489,5,530.94,5.83,G990_M289_C701
1990,1579640,180.2897,199.43,24.62,490,1495,5,530.72,5.78,G994_M290_C706
2000,1587640,132.0885,199.43,24.70,494,1501,5,530.80,5.89,G999_M292_C709
2010,1595640,119.0271,199.77,24.63,495,1510,5,530.73,5.70,G1003_M295_C712
2020,1603408,63.8242,199.19,24.70,499,1516,5,530.54,5.91,G1007_M297_C716
2030,1611408,126.1566,199.19,24.98,507,1518,5,530.45,5.70,G1010_M298_C722
2040,1619408,107.7672,199.19,25.00,510,1525,5,530.49,5.79,G1015_M300_C725
2050,1627004,113.3608,198.24,25.07,514,1530,6,530.61,5.86,G1018_M300_C732
2060,1634908,108.3921,198.17,25.10,517,1537,6,530.60,5.83,G1021_M303_C736
2070,1642844,50.4951,198.01,25.12,520,1544,6,530.76,5.99,G1028_M303_C739
2080,1650844,46.1309,198.01,25.14,523,1551,6,530.86,6.01,G1033_M305_C742
2090,1658844,88.4997,198.01,25.26,528,1556,6,530.96,5.89,G1036_M306_C748
2100,1666844,160.8951,198.01,25.38,533,1560,7,530.79,5.80,G1042_M307_C751
2110,1674844,235.3082,198.01,25.45,537,1566,7,530.72,5.63,G1047_M309_C754
2120,1682844,270.5305,198.59,25.42,539,1574,7,530.83,5.49,G1054_M310_C756
2130,1690844,226.6384,198.59,25.35,540,1583,7,530.96,5.64,G1063_M311_C756
2140,1698844,190.3884,198.59,25.28,541,1592,7,530.98,5.68,G1068_M314_C758
2150,1706752,188.1879,199.37,25.44,547,1596,7,531.07,5.67,G1071_M316_C763
2160,1714752,249.7328,199.61,25.65,554,1598,8,531.25,5.59,G1078_M317_C765
2170,1722752,305.1929,199.77,25.76,559,1603,8,531.30,5.39,G1084_M320_C766
2180,1730724,246.5394,199.70,25.78,562,1610,8,530.97,5.45,G1087_M321_C772
2190,1738084,225.7187,198.10,25.80,565,1616,9,530.80,5.57,G1092_M322_C776
2200,1745920,162.7517,197.69,25.82,568,1623,9,530.79,5.73,G1095_M324_C781
2210,1753920,52.0313,197.69,25.88,572,1629,9,530.58,6.04,G1099_M327_C784
2220,1761804,56.2706,197.40,25.90,575,1636,9,530.14,6.05,G1103_M329_C788
2230,1769804,50.0136,197.40,26.10,582,1639,9,529.72,6.04,G1105_M333_C792
2240,1777804,150.9242,197.40,26.29,589,1642,9,529.53,5.89,G1112_M334_C794
2250,1785804,203.6481,197.63,26.36,593,1648,9,529.29,5.79,G1116_M337_C797
2260,1793804,56.9573,197.63,26.28,594,1657,9,529.15,6.25,G1120_M339_C801
2270,1801804,72.5074,197.63,26.34,598,1663,9,529.27,6.27,G1123_M339_C808
2280,1809748,130.1595,197.56,26.40,602,1669,9,529.28,6.19,G1126_M342_C812
2290,1817240,121.1071,197.89,26.42,605,1676,9,529.33,6.12,G1129_M344_C817
2300,1825240,188.5581,198.30,26.39,607,1683,10,529.44,5.91,G1136_M345_C819
2310,1833240,259.3891,198.30,26.45,611,1689,10,529.57,5.64,G1141_M346_C823
2320,1840892,218.5998,197.72,26.42,613,1697,10,529.76,5.70,G1144_M346_C830
2330,1848892,247.8699,197.72,26.44,616,1703,11,529.77,5.63,G1153_M347_C830
2340,1856892,113.1936,197.72,26.50,620,1709,11,529.65,5.91,G1158_M349_C833
2350,1864892,-1.6011,197.72,26.47,622,1717,11,529.72,6.24,G1162_M350_C838
2360,1872580,79.7343,196.94,26.53,626,1723,11,529.84,5.98,G1168_M351_C841
2370,1880420,83.9093,196.54,26.46,627,1732,11,529.93,5.93,G1173_M353_C844
2380,1888420,11.8699,196.68,26.34,627,1742,11,529.95,6.22,G1178_M357_C845
2390,1896420,-26.3399,197.95,26.36,630,1749,11,530.02,6.38,G1183_M360_C847
2400,1904420,-56.7858,197.95,26.46,635,1754,11,530.09,6.45,G1189_M363_C848
2410,1912420,-73.9830,197.95,26.47,638,1761,11,530.00,6.58,G1193_M366_C851
2420,1920420,-108.6880,198.82,26.36,638,1771,11,529.71,6.82,G1200_M368_C852
2430,1928420,-205.7329,198.82,26.26,638,1781,11,529.66,7.26,G1204_M369_C857
2440,1936180,-182.0994,198.22,26.23,640,1789,11,529.59,7.22,G1209_M372_C859
2450,1944180,-179.8366,198.22,26.37,646,1793,11,529.38,7.24,G1214_M373_C863
2460,1952180,-152.3487,199.00,26.34,648,1801,11,529.03,7.14,G1220_M375_C865
2470,1960180,-136.4720,199.40,26.32,650,1809,11,529.14,7.11,G1225_M376_C869
2480,1967252,-60.5425,197.08,26.41,655,1814,11,529.23,6.78,G1231_M377_C872
2490,1975252,68.4843,197.08,26.63,663,1816,11,529.06,6.52,G1233_M381_C876
2500,1983224,43.9256,197.01,26.72,668,1821,11,528.84,6.61,G1237_M384_C879
2510,1991040,77.4842,196.55,26.81,673,1826,11,528.88,6.50,G1241_M386_C883
2520,1998932,135.0223,196.28,26.90,678,1831,11,528.97,6.28,G1248_M387_C885
2530,2006684,223.2924,195.66,26.96,682,1837,11,529.03,5.85,G1252_M389_C889
2540,2014576,259.9767,195.99,27.01,686,1843,11,529.14,5.68,G1255_M390_C895
2550,2022576,363.1363,195.99,27.14,692,1847,11,529.24,5.29,G1261_M392_C897
2560,2030372,377.7411,195.48,27.11,694,1855,11,529.28,5.31,G1267_M396_C897
2570,2038372,367.9216,195.48,27.12,697,1862,11,529.29,5.28,G1274_M397_C899
2580,2046372,359.6771,197.80,27.17,701,1868,11,529.15,5.31,G1279_M399_C902
2590,2054372,297.0083,197.80,27.26,706,1873,11,529.24,5.32,G1283_M400_C907
2600,2061932,314.6825,196.77,27.23,708,1881,11,529.27,5.21,G1287_M403_C910
2610,2069656,346.4153,196.54,27.28,712,1887,11,529.31,5.13,G1292_M406_C912
2620,2077656,323.9836,196.81,27.21,713,1896,11,529.43,5.12,G1298_M407_C915
2630,2085656,299.4826,197.43,27.26,717,1902,11,529.58,5.21,G1303_M408_C919
2640,2093536,302.1696,197.40,27.27,720,1909,11,529.70,5.27,G1307_M410_C923
2650,2101536,332.4720,197.40,27.25,722,1917,11,529.57,5.25,G1314_M413_C923
2660,2109536,258.4500,197.91,27.26,725,1924,11,529.27,5.34,G1318_M416_C926
2670,2117416,297.4010,197.61,27.42,732,1927,11,529.25,5.29,G1323_M416_C931
2680,2125212,290.1544,197.10,27.50,737,1932,11,529.30,5.41,G1327_M416_C937
2690,2133212,322.8074,197.10,27.51,740,1939,11,529.06,5.41,G1332_M419_C939
2700,2141212,360.4536,198.20,27.56,744,1945,11,528.83,5.35,G1337_M419_C944
2710,2149212,269.7141,198.89,27.56,747,1952,11,528.72,5.60,G1340_M420_C950
2720,2157060,346.0921,198.51,27.65,752,1957,11,528.56,5.52,G1345_M422_C953
2730,2165060,374.7783,198.51,27.62,754,1965,11,528.38,5.45,G1347_M425_C958
2740,2172932,304.9140,198.49,27.63,757,1972,11,528.25,5.53,G1350_M428_C962
2750,2180932,319.0183,198.49,27.67,761,1978,11,528.29,5.49,G1359_M429_C962
2760,2188584,311.1473,197.62,27.75,766,1983,11,528.36,5.60,G1364_M430_C966
2770,2196584,310.9116,197.92,27.87,772,1987,11,528.48,5.60,G1371_M430_C969
2780,2204584,255.5818,198.43,27.84,774,1995,11,528.59,5.71,G1378_M430_C972
2790,2212584,146.6059,198.43,27.81,776,2003,11,528.69,5.96,G1382_M432_C976
2800,2220584,66.2636,198.43,27.89,781,2008,11,528.88,6.18,G1389_M432_C979
2810,2228464,108.8150,198.13,27.97,786,2013,11,528.83,6.03,G1393_M433_C984
2820,2235928,104.7321,197.17,27.94,788,2021,11,528.75,5.94,G1398_M435_C987
2830,2243928,148.8298,197.17,28.06,794,2025,11,528.77,5.82,G1401_M438_C991
2840,2251896,212.8558,197.41,28.06,797,2032,11,528.87,5.72,G1406_M439_C995
2850,2259768,124.0010,197.09,28.04,799,2040,11,529.01,5.96,G1413_M439_C998
2860,2267768,130.7594,197.96,28.01,801,2047,12,529.17,5.92,G1418_M439_C1003
2870,2275560,52.1211,197.44,27.98,803,2055,12,529.30,6.10,G1424_M439_C1007
2880,2283536,109.4658,197.38,27.99,806,2062,12,529.45,5.97,G1428_M440_C1012
2890,2291536,129.2275,197.38,28.03,810,2068,12,529.44,5.92,G1431_M441_C1018
2900,2299536,176.6503,197.38,27.97,811,2077,12,529.26,5.71,G1434_M442_C1024
2910,2307332,177.0062,197.17,27.94,813,2085,12,529.14,5.72,G1439_M445_C1026
2920,2314924,146.1502,197.49,27.98,817,2091,12,529.08,5.77,G1442_M448_C1030
2930,2322876,115.5266,197.37,27.95,819,2099,12,528.91,5.89,G1448_M449_C1033
2940,2330876,66.4029,197.45,27.86,819,2109,12,528.60,5.97,G1449_M451_C1040
2950,2338840,106.4056,197.68,27.90,823,2115,12,528.49,5.85,G1454_M452_C1044
2960,2346840,138.4351,197.68,27.91,826,2122,12,528.43,5.69,G1460_M452_C1048
2970,2354840,108.7292,198.20,27.81,826,2132,12,528.33,5.86,G1468_M453_C1049
2980,2362732,62.7328,197.99,27.79,828,2140,12,528.20,5.92,G1470_M456_C1054
2990,2370580,149.3346,197.61,27.79,831,2147,12,528.30,5.70,G1476_M456_C1058
3000,2378380,241.1801,197.11,27.83,835,2153,12,528.36,5.54,G1483_M457_C1060
3010,2386380,227.8050,197.62,27.81,837,2160,13,528.47,5.60,G1489_M457_C1064
3020,2394320,225.0199,198.49,27.81,840,2167,13,528.52,5.61,G1492_M459_C1069
3030,2402320,232.7642,198.61,27.79,842,2175,13,528.61,5.53,G1497_M461_C1072
3040,2410320,262.5068,198.61,27.80,845,2182,13,528.69,5.50,G1504_M464_C1072
3050,2418308,120.5342,198.67,27.87,850,2187,13,528.65,5.96,G1508_M465_C1077
3060,2426248,145.8603,198.52,27.97,856,2191,13,528.60,5.93,G1513_M466_C1081
3070,2434248,285.5781,198.52,28.05,861,2196,13,528.72,5.55,G1520_M466_C1084
3080,2442248,257.8678,198.79,28.08,865,2202,13,528.83,5.71,G1528_M467_C1085
3090,2450180,227.6277,199.00,28.19,871,2206,13,528.89,5.81,G1532_M469_C1089
3100,2458180,177.7483,199.50,28.32,878,2209,13,528.97,5.98,G1538_M470_C1092
3110,2465812,183.1856,198.58,28.39,883,2214,13,529.06,5.95,G1543_M472_C1095
3120,2473812,122.9766,198.73,28.37,885,2222,13,529.14,6.12,G1545_M475_C1100
3130,2481812,95.4807,198.73,28.37,888,2229,13,529.06,6.25,G1550_M477_C1103
3140,2489748,105.3894,198.57,28.41,892,2235,13,528.86,6.25,G1554_M478_C1108
