episode,steps,result,boss_hp_remaining,boss_hp_ratio,phase_reached,avg_reward_all,reward_dealer,reward_tank,reward_healer,reward_support,damage_tank,damage_healer,damage_support,heal_done_healer,buffs_support,mechanic_success,mechanic_fail,stagger_success,stagger_fail,elapsed_sec
74,21,TIMEOUT,5000,1.0,0,-52.993,-70.02,-59.97,-50.29,-48.72,0,0,0,0,2,0,0,0,0,6.8
75,20,TIMEOUT,4830,0.966,0,-52.353,-48.92,-65.52,-41.42,-50.12,0,15,0,40,4,0,0,0,0,6.8
76,22,TIMEOUT,5000,1.0,0,-60.283,-70.22,-62.17,-69.11,-49.57,0,0,0,0,2,0,0,0,0,6.9
77,24,TIMEOUT,4750,0.95,0,-61.537,-34.32,-63.52,-70.92,-50.17,0,0,0,0,6,0,0,0,0,6.9
78,21,TIMEOUT,5000,1.0,0,-66.113,-70.57,-55.42,-70.25,-72.67,0,0,0,0,4,0,0,0,0,7.0
79,30,TIMEOUT,4530,0.906,0,-62.277,-0.52,-75.47,-62.64,-48.72,0,0,0,40,1,0,0,0,0,7.1
80,27,TIMEOUT,4905,0.981,0,-59.63,-57.77,-41.02,-64.15,-73.72,0,0,0,40,2,0,0,0,0,7.2
81,14,TIMEOUT,4790,0.958,0,-64.28,-44.67,-56.67,-71.15,-65.02,0,0,35,0,1,0,0,0,0,7.2
82,48,WIPE,4475,0.895,0,-218.213,-141.52,-219.17,-218.55,-216.92,25,0,0,0,7,0,0,0,0,7.4
83,26,TIMEOUT,4675,0.935,0,-53.703,-23.07,-67.02,-46.72,-47.37,0,15,0,0,3,0,0,0,0,7.4
84,21,TIMEOUT,4830,0.966,0,-53.7,-49.22,-61.87,-50.71,-48.52,0,0,15,0,3,0,0,0,0,7.5
85,19,TIMEOUT,4845,0.969,0,-48.92,-47.52,-53.07,-42.17,-51.52,0,0,0,40,5,0,0,0,0,7.6
86,37,TIMEOUT,4290,0.858,0,-52.043,37.18,-62.07,-42.59,-51.47,0,0,0,80,1,0,0,0,0,7.7
